HQ,built_threat,quartile
0.6828597187995911,0.5914398431777954,Q2
0.6928507089614868,0.5277087092399597,Q1 (lowest)
0.6288017630577087,0.6865482926368713,Q2
0.5619193315505981,0.770438015460968,Q3
0.7508582472801208,0.40227004885673523,Q1 (lowest)
0.6681315302848816,0.5770248174667358,Q2
0.5562366843223572,0.8009184002876282,Q3
0.5021486878395081,0.868930459022522,Q4 (highest)
0.5336646437644958,0.8426939845085144,Q3
0.5711364150047302,0.7854294180870056,Q3
0.6473568081855774,0.6300883889198303,Q2
0.5497241020202637,0.7719305753707886,Q3
0.6638453006744385,0.5878612399101257,Q2
0.6355588436126709,0.6041461229324341,Q2
0.5283531546592712,0.8169835805892944,Q3
0.5594725608825684,0.7997888326644897,Q3
0.5236643552780151,0.8464655876159668,Q4 (highest)
0.47827863693237305,0.9080520272254944,Q4 (highest)
0.5844058990478516,0.6897892355918884,Q2
0.49346619844436646,0.8354789614677429,Q3
0.5268041491508484,0.7868671417236328,Q3
0.5288072228431702,0.7968922853469849,Q3
0.5896949768066406,0.7222703099250793,Q2
0.5630912780761719,0.7476072907447815,Q3
0.46768656373023987,0.9349380135536194,Q4 (highest)
0.6006845831871033,0.703349769115448,Q2
0.6700237393379211,0.5770248174667358,Q2
0.6546927690505981,0.5505149960517883,Q2
0.4568451941013336,0.9651642441749573,Q4 (highest)
0.49068814516067505,0.8996238112449646,Q4 (highest)
0.4971940219402313,0.8724883794784546,Q4 (highest)
0.6389627456665039,0.6487790942192078,Q2
0.6112869381904602,0.6718714237213135,Q2
0.6778655648231506,0.5300573110580444,Q1 (lowest)
0.6144106388092041,0.6396622061729431,Q2
0.6326261758804321,0.614584743976593,Q2
0.7059378027915955,0.4769399166107178,Q1 (lowest)
0.7271857261657715,0.38855746388435364,Q1 (lowest)
0.6720503568649292,0.5384131669998169,Q1 (lowest)
0.47940006852149963,0.9237772822380066,Q4 (highest)
0.4680900573730469,0.934070885181427,Q4 (highest)
0.5375667214393616,0.7893638014793396,Q3
0.48627257347106934,0.9092445373535156,Q4 (highest)
0.6208966374397278,0.6424718499183655,Q2
0.7065092921257019,0.4448143541812897,Q1 (lowest)
0.7359084486961365,0.3416782021522522,Q1 (lowest)
0.7701798677444458,0.25452950596809387,Q1 (lowest)
0.7582300305366516,0.3005959391593933,Q1 (lowest)
0.7417778372764587,0.432599812746048,Q1 (lowest)
0.671927273273468,0.6168993711471558,Q2
0.5376787185668945,0.8221619725227356,Q3
0.5793976783752441,0.7575933337211609,Q3
0.6696197986602783,0.5472936630249023,Q2
0.7324562668800354,0.3825313448905945,Q1 (lowest)
0.7235092520713806,0.3918939232826233,Q1 (lowest)
0.6528086066246033,0.5610413551330566,Q2
0.544857919216156,0.7759168744087219,Q3
0.5465598702430725,0.7811956405639648,Q3
0.6433998346328735,0.5709801912307739,Q2
0.572605550289154,0.718132495880127,Q2
0.5524468421936035,0.7624684572219849,Q3
0.6859819293022156,0.5272939205169678,Q1 (lowest)
0.736027717590332,0.36433351039886475,Q1 (lowest)
0.7243092060089111,0.37915873527526855,Q1 (lowest)
0.7493959069252014,0.37834951281547546,Q1 (lowest)
0.76909339427948,0.3309707045555115,Q1 (lowest)
0.7712477445602417,0.2750903367996216,Q1 (lowest)
0.7808462977409363,0.21645493805408478,Q1 (lowest)
0.762719988822937,0.2758693993091583,Q1 (lowest)
0.7367531657218933,0.3978506922721863,Q1 (lowest)
0.6664673686027527,0.5708521008491516,Q2
0.5237289667129517,0.8264527916908264,Q3
0.5686635375022888,0.763888418674469,Q3
0.6131513714790344,0.6529709696769714,Q2
0.5568397641181946,0.7589714527130127,Q3
0.6068964004516602,0.705498218536377,Q2
0.6992434859275818,0.5178301930427551,Q1 (lowest)
0.7021522521972656,0.5298475027084351,Q1 (lowest)
0.7518624663352966,0.3987482488155365,Q1 (lowest)
0.6722570061683655,0.5687507390975952,Q2
0.5672513246536255,0.7743863463401794,Q3
0.5598751306533813,0.7696968913078308,Q3
0.5512018203735352,0.7955742478370667,Q3
0.6633565425872803,0.6240081191062927,Q2
0.6495466232299805,0.5996005535125732,Q2
0.6157724261283875,0.6668405532836914,Q2
0.6569239497184753,0.6252596378326416,Q2
0.7085227370262146,0.4768994152545929,Q1 (lowest)
0.6519308686256409,0.6064957976341248,Q2
0.5844855904579163,0.7548712491989136,Q3
