ring,hole,order,x,y
6,0,299,441168.0422,2354080.7188
6,0,300,440332.5426,2355353.0461
6,0,301,440114.2451,2361504.4794
6,0,302,436579.9765,2365742.3114
6,0,303,436415.432,2367192.586
6,0,304,434968.719,2368009.6234
6,0,305,437787.5917,2363400.6735
6,0,306,438975.4771,2357154.0986
6,0,307,439269.0685,2354437.7419
6,0,308,437671.6679,2351184.4807
6,0,309,438945.1236,2349316.6901
6,0,310,440139.6133,2348423.4051
6,0,311,439236.1208,2343323.2089
6,0,312,437985.7254,2340733.9519
6,0,313,438100.9576,2338410.1072
6,0,314,436343.9303,2336805.9461
6,0,315,435226.6785,2338102.6062
6,0,316,433192.0545,2335855.4766
6,0,317,430438.2235,2333901.2512
6,0,318,430468.0673,2330351.6809
6,0,319,434550.1624,2331306.9222
6,0,320,438411.3473,2332794.6883
6,0,321,439040.9734,2330166.4799
6,0,322,440584.8506,2328326.5819
6,0,323,446099.823,2328771.6851
6,0,324,447024.3173,2330155.166
6,0,325,449787.2659,2330898.7201
6,0,326,453274.5631,2329283.7988
6,0,327,453118.659,2327054.9855
6,0,328,451086.0781,2320829.3173
6,0,329,450809.2875,2313932.1436
6,0,330,448387.615,2314206.9645
6,0,331,446676.5039,2318862.4217
6,0,332,444370.2093,2321824.9462
6,0,333,440534.24,2321478.8572
6,0,334,439217.0584,2322568.8244
6,0,335,436081.8894,2321639.4862
6,0,336,431227.8028,2321409.279
6,0,337,427859.1836,2319210.7186
6,0,338,419675.2872,2317508.8382
6,0,339,416813.6133,2316544.3388
6,0,340,417041.4959,2319229.9218
6,0,341,418058.3308,2320774.1133
6,0,342,424631.5032,2325707.097
6,0,343,425755.0788,2328893.7665
6,0,344,427113.9728,2329493.936
6,0,345,427782.5235,2331852.8483
6,0,346,426608.9565,2333287.9196
6,0,347,422940.4944,2329778.3597
6,0,348,422781.2467,2325991.2058
6,0,349,420749.6913,2325443.4991
6,0,350,417886.0638,2327639.7775
6,0,351,416221.8401,2325590.2646
6,0,352,416886.6878,2323862.798
6,0,353,413289.0642,2320799.2965
6,0,354,413654.3546,2318598.2128
6,0,355,413302.837,2314498.6503
6,0,356,414284.1823,2311481.9997
6,0,357,417304.8186,2305772.2997
6,0,358,418830.9513,2306983.1007
6,0,359,429183.0173,2306160.9027
6,0,360,431206.6403,2305656.4058
6,0,361,432673.7984,2303247.1865
6,0,362,436010.6885,2302535.969
6,0,363,436586.2713,2298303.5065
6,0,364,437730.0829,2296317.5775
6,0,365,436816.227,2294599.4225
6,0,366,436501.0677,2291166.344
6,0,367,433629.3894,2289889.1348
6,0,368,430580.413,2293718.5331
6,0,369,429826.4636,2291953.5925
6,0,370,431098.9329,2290696.1487
6,0,371,431208.8088,2285510.1908
6,0,372,434486.3018,2284591.4087
6,0,373,436717.4102,2285682.9101
6,0,374,438403.6247,2284551.6779
6,0,375,442073.2966,2285323.6105
6,0,376,444307.2708,2286776.6615
6,0,377,446632.0819,2280369.4006
6,0,378,446520.7486,2276120.1649
6,0,379,441884.1221,2275900.44
6,0,380,441413.3799,2280735.5888
6,0,381,439802.6543,2279113.2274
6,0,382,440098.0263,2276060.923
6,0,383,442869.5795,2274396.2691
6,0,384,445004.7608,2275759.6777
6,0,385,449026.2383,2269397.3844
6,0,386,451031.1596,2264898.9633
6,0,387,449905.9521,2259717.4628
6,0,388,445237.841,2254704.9135
6,0,389,444486.135,2252261.1996
6,0,390,441575.3423,2248190.128
6,0,391,438031.906,2245401.0198
6,0,392,434786.7149,2245791.3744
6,0,393,432057.3587,2243095.7936
6,0,394,428636.4714,2240572.9037
6,0,395,421731.6861,2240857.1294
6,0,396,417023.6907,2241624.1591
6,0,397,414773.7156,2237978.4321
6,0,398,409360.106,2238291.6035
6,0,399,407516.1488,2240895.6205
6,0,400,405599.2126,2240667.7014
6,0,401,402767.0797,2241873.0862
6,0,402,401589.2086,2244013.089
6,0,403,397958.0971,2242617.1544
6,0,404,397040.2295,2241568.8215
6,0,405,392557.3971,2241795.6875
6,0,406,390284.7323,2238357.2555
6,0,407,387797.0172,2235922.7052
6,0,408,385702.2094,2236509.5213
6,0,409,386667.2292,2240936.8062
6,0,410,388848.5196,2243918.0391
6,0,411,386918.8027,2250558.6652
6,0,412,382834.0541,2251997.8109
6,0,413,381152.2881,2257433.3484
6,0,414,385101.8236,2257973.1264
6,0,415,385919.4953,2260120.8303
6,0,416,389835.6365,2257609.7621
6,0,417,392981.5081,2258216.4044
6,0,418,389883.1932,2258125.3551
6,0,419,386928.3831,2260497.8821
6,0,420,386979.2726,2263477.5345
6,0,421,385667.1279,2265846.429
6,0,422,383593.0308,2265875.3907
6,0,423,382214.0249,2267512.7375
6,0,424,378082.7301,2267550.8453
6,0,425,376669.1409,2271408.4921
6,0,426,378873.83,2273232.7696
6,0,427,376709.352,2278387.3728
6,0,428,374706.0411,2281082.3502
6,0,429,372404.65,2282684.4314
6,0,430,371183.3857,2281419.8129
6,0,431,368864.3629,2282462.8591
6,0,432,369493.9884,2286936.822
6,0,433,370895.3712,2287020.8117
6,0,434,372315.5862,2289956.0363
6,0,435,369497.2442,2294102.6768
6,0,436,371182.5365,2299015.2146
6,0,437,370073.9102,2301778.5455
6,0,438,367349.1238,2300004.6806
6,0,439,362108.7331,2308259.7498
6,0,440,361231.2161,2312271.0776
6,0,441,361157.8452,2315741.1967
6,0,442,362586.5314,2319639.2332
6,0,443,363677.5418,2324188.8477
6,0,444,364974.4671,2326077.4467
6,0,445,365604.4401,2330360.4734
6,0,446,362230.7718,2335736.8586
6,0,447,363184.5992,2337985.4041
6,0,448,368665.1033,2343917.8818
6,0,449,370461.0159,2343776.3342
6,0,450,372242.2325,2346230.3738
6,0,451,372834.9037,2348609.6139
6,0,452,372272.3564,2361885.9681
6,0,453,374481.7108,2361012.6476
6,0,454,381913.0342,2362299.4105
6,0,455,387301.7173,2362272.7956
6,0,456,385690.868,2363941.7111
6,0,457,386873.7953,2368531.5231
6,0,458,389557.2634,2370651.7533
6,0,459,388380.5172,2370292.1676
6,0,460,386581.3612,2372730.481
6,0,461,383463.68,2372999.4288
6,0,462,378706.8158,2372654.2463
6,0,463,374921.2276,2374696.3418
6,0,464,374994.5967,2378631.2968
6,0,465,371945.4019,2383432.7426
6,0,466,371920.7006,2385292.7991
6,0,467,370236.012,2386808.1083
6,0,468,369646.3086,2391401.0262
6,0,469,372171.3376,2396818.0375
6,0,470,373004.3314,2397192.8113
6,0,471,374125.1513,2394134.4599
6,0,472,375519.7706,2393437.0003
6,0,473,381180.504,2394254.7743
6,0,474,383357.2867,2395863.1703
6,0,475,385028.3321,2394706.125
