HQ,class_code,LULC,Hj
0.4758397042751312,2,Forest,0.8
0.3325081765651703,4,Water,0.8
0.21870818734169006,1,Cropland,0.3
0.22858615219593048,1,Cropland,0.3
0.23810626566410065,1,Cropland,0.3
0.4899778366088867,2,Forest,0.8
0.24781818687915802,1,Cropland,0.3
0.5046594738960266,2,Forest,0.8
0.2169010490179062,1,Cropland,0.3
0.21662749350070953,1,Cropland,0.3
0.2502552270889282,1,Cropland,0.3
0.24293699860572815,1,Cropland,0.3
0.24203701317310333,1,Cropland,0.3
0.23302599787712097,1,Cropland,0.3
0.5109487771987915,2,Forest,0.8
0.23213201761245728,1,Cropland,0.3
0.5487581491470337,2,Forest,0.8
0.24598881602287292,1,Cropland,0.3
0.47515612840652466,2,Forest,0.8
0.2222471386194229,1,Cropland,0.3
0.5557249188423157,2,Forest,0.8
0.5054041147232056,2,Forest,0.8
0.24293699860572815,1,Cropland,0.3
0.24391750991344452,1,Cropland,0.3
0.22703991830348969,1,Cropland,0.3
0.22332073748111725,1,Cropland,0.3
0.23241682350635529,1,Cropland,0.3
0.2421354204416275,1,Cropland,0.3
0.23049680888652802,1,Cropland,0.3
0.5289456248283386,2,Forest,0.8
0.47113296389579773,2,Forest,0.8
0.21392516791820526,1,Cropland,0.3
0.24391750991344452,1,Cropland,0.3
0.24085000157356262,1,Cropland,0.3
0.21321073174476624,1,Cropland,0.3
0.537137508392334,2,Forest,0.8
0.6025741100311279,2,Forest,0.8
0.5260912179946899,2,Forest,0.8
0.22908832132816315,1,Cropland,0.3
0.22768010199069977,1,Cropland,0.3
0.513486385345459,2,Forest,0.8
0.23122020065784454,1,Cropland,0.3
0.21938936412334442,1,Cropland,0.3
0.5192546248435974,2,Forest,0.8
0.49976834654808044,4,Water,0.8
0.22354456782341003,1,Cropland,0.3
0.23433126509189606,1,Cropland,0.3
0.23099982738494873,1,Cropland,0.3
0.22320696711540222,1,Cropland,0.3
0.21870818734169006,1,Cropland,0.3
0.22791238129138947,1,Cropland,0.3
0.24006444215774536,1,Cropland,0.3
0.22670750319957733,1,Cropland,0.3
0.21392516791820526,1,Cropland,0.3
0.2180996537208557,1,Cropland,0.3
