x_utm,y_utm,cls
579956.0,2498216.0,0
583916.0,2498216.0,2
592826.0,2498216.0,0
593816.0,2498216.0,0
594806.0,2498216.0,0
595796.0,2498216.0,2
596786.0,2498216.0,2
597776.0,2498216.0,2
598766.0,2498216.0,2
601736.0,2498216.0,2
476006.0,2497226.0,2
476996.0,2497226.0,0
480956.0,2497226.0,0
481946.0,2497226.0,0
482936.0,2497226.0,0
483926.0,2497226.0,0
484916.0,2497226.0,1
485906.0,2497226.0,1
486896.0,2497226.0,1
487886.0,2497226.0,1
488876.0,2497226.0,1
489866.0,2497226.0,1
490856.0,2497226.0,1
491846.0,2497226.0,1
492836.0,2497226.0,1
493826.0,2497226.0,1
495806.0,2497226.0,0
497786.0,2497226.0,0
498776.0,2497226.0,0
499766.0,2497226.0,1
500756.0,2497226.0,1
501746.0,2497226.0,1
502736.0,2497226.0,1
503726.0,2497226.0,0
504716.0,2497226.0,0
505706.0,2497226.0,0
506696.0,2497226.0,1
507686.0,2497226.0,1
508676.0,2497226.0,1
509666.0,2497226.0,1
510656.0,2497226.0,0
511646.0,2497226.0,0
512636.0,2497226.0,1
513626.0,2497226.0,1
514616.0,2497226.0,1
515606.0,2497226.0,1
516596.0,2497226.0,0
517586.0,2497226.0,0
518576.0,2497226.0,0
519566.0,2497226.0,1
520556.0,2497226.0,1
521546.0,2497226.0,1
522536.0,2497226.0,1
523526.0,2497226.0,1
524516.0,2497226.0,1
525506.0,2497226.0,1
526496.0,2497226.0,1
527486.0,2497226.0,1
528476.0,2497226.0,1
529466.0,2497226.0,1
530456.0,2497226.0,1
576986.0,2497226.0,0
577976.0,2497226.0,0
578966.0,2497226.0,0
580946.0,2497226.0,0
581936.0,2497226.0,0
582926.0,2497226.0,0
583916.0,2497226.0,0
584906.0,2497226.0,0
585896.0,2497226.0,0
586886.0,2497226.0,0
587876.0,2497226.0,0
592826.0,2497226.0,0
593816.0,2497226.0,0
594806.0,2497226.0,0
595796.0,2497226.0,2
596786.0,2497226.0,2
597776.0,2497226.0,3
598766.0,2497226.0,2
601736.0,2497226.0,2
476006.0,2496236.0,2
476996.0,2496236.0,0
477986.0,2496236.0,0
481946.0,2496236.0,0
482936.0,2496236.0,0
483926.0,2496236.0,0
484916.0,2496236.0,0
485906.0,2496236.0,1
486896.0,2496236.0,1
487886.0,2496236.0,1
488876.0,2496236.0,1
489866.0,2496236.0,1
490856.0,2496236.0,1
491846.0,2496236.0,1
492836.0,2496236.0,0
493826.0,2496236.0,0
495806.0,2496236.0,3
496796.0,2496236.0,0
497786.0,2496236.0,0
498776.0,2496236.0,0
499766.0,2496236.0,1
500756.0,2496236.0,1
501746.0,2496236.0,1
502736.0,2496236.0,1
503726.0,2496236.0,0
504716.0,2496236.0,0
505706.0,2496236.0,0
506696.0,2496236.0,1
507686.0,2496236.0,1
508676.0,2496236.0,1
509666.0,2496236.0,0
510656.0,2496236.0,0
511646.0,2496236.0,0
512636.0,2496236.0,0
513626.0,2496236.0,1
514616.0,2496236.0,1
515606.0,2496236.0,1
516596.0,2496236.0,1
517586.0,2496236.0,1
518576.0,2496236.0,1
519566.0,2496236.0,1
520556.0,2496236.0,1
521546.0,2496236.0,1
522536.0,2496236.0,1
523526.0,2496236.0,1
524516.0,2496236.0,1
525506.0,2496236.0,1
526496.0,2496236.0,1
527486.0,2496236.0,1
528476.0,2496236.0,1
529466.0,2496236.0,1
530456.0,2496236.0,1
575996.0,2496236.0,1
576986.0,2496236.0,0
577976.0,2496236.0,0
581936.0,2496236.0,0
582926.0,2496236.0,0
584906.0,2496236.0,0
585896.0,2496236.0,0
586886.0,2496236.0,0
587876.0,2496236.0,0
589856.0,2496236.0,0
590846.0,2496236.0,0
591836.0,2496236.0,0
592826.0,2496236.0,0
593816.0,2496236.0,0
594806.0,2496236.0,2
596786.0,2496236.0,0
597776.0,2496236.0,0
598766.0,2496236.0,2
599756.0,2496236.0,2
600746.0,2496236.0,2
476996.0,2495246.0,0
477986.0,2495246.0,0
479966.0,2495246.0,0
480956.0,2495246.0,0
481946.0,2495246.0,0
482936.0,2495246.0,2
483926.0,2495246.0,0
485906.0,2495246.0,0
486896.0,2495246.0,0
487886.0,2495246.0,1
488876.0,2495246.0,1
489866.0,2495246.0,1
490856.0,2495246.0,1
491846.0,2495246.0,1
492836.0,2495246.0,0
493826.0,2495246.0,0
494816.0,2495246.0,2
496796.0,2495246.0,0
497786.0,2495246.0,0
498776.0,2495246.0,0
499766.0,2495246.0,1
500756.0,2495246.0,1
502736.0,2495246.0,1
503726.0,2495246.0,1
505706.0,2495246.0,0
506696.0,2495246.0,1
507686.0,2495246.0,1
509666.0,2495246.0,1
510656.0,2495246.0,0
511646.0,2495246.0,0
512636.0,2495246.0,0
513626.0,2495246.0,0
514616.0,2495246.0,0
515606.0,2495246.0,0
516596.0,2495246.0,1
517586.0,2495246.0,1
519566.0,2495246.0,1
520556.0,2495246.0,1
521546.0,2495246.0,1
522536.0,2495246.0,1
